"tsn","species_common","species_scientific","adfg_code","adfg_comment","akr_code","akr_name","obs_code","obs_name","race_code","race_name","iphc_code","iphc_name","sa_comments"
NA,"Krill","order Euphausiacea","800","Forage fish group","800","Krill (order Euphausiacea)",NA,NA,NA,NA,NA,NA,NA
"568268","clam, Washington butter","Saxidomus gigantea","810",NA,"810","Clam, butter","29","MUSSELS OYSTERS SCALLOPS CLAMS","74000","bivalve unident.",74,"Bivalve",""
"568268","clam, Washington butter","Saxidomus gigantea","810",NA,"810","Clam, butter","29","MUSSELS OYSTERS SCALLOPS CLAMS","74120","weathervane scallop",NA,NA,NA
"80983","clam, Arctic surf","Mactromeris polynyma","812",NA,"812","Clam, surf","29","MUSSELS OYSTERS SCALLOPS CLAMS","74000","bivalve unident.",74,"Bivalve",""
"80983","clam, Arctic surf","Mactromeris polynyma","812",NA,"812","Clam, surf","29","MUSSELS OYSTERS SCALLOPS CLAMS","74120","weathervane scallop",NA,NA,NA
"81779","clam, Pacific geoduck","Panopea abrupta","815",NA,"815","Clam, geoduck","29","MUSSELS OYSTERS SCALLOPS CLAMS","74000","bivalve unident.",74,"Bivalve",""
"81779","clam, Pacific geoduck","Panopea abrupta","815",NA,"815","Clam, geoduck","29","MUSSELS OYSTERS SCALLOPS CLAMS","74120","weathervane scallop",NA,NA,NA
NA,"clam, cockle","Clinocardium nuttalli","820",NA,"820","Clam, cockle","29","MUSSELS OYSTERS SCALLOPS CLAMS","74000","bivalve unident.",74,"Bivalve",""
NA,"clam, cockle","Clinocardium nuttalli","820",NA,"820","Clam, cockle","29","MUSSELS OYSTERS SCALLOPS CLAMS","74120","weathervane scallop",NA,NA,NA
"80955","clam, horse","Tresus capax","825",NA,NA,NA,"29","MUSSELS OYSTERS SCALLOPS CLAMS","74000","bivalve unident.",74,"Bivalve",""
"80955","clam, horse","Tresus capax","825",NA,NA,NA,"29","MUSSELS OYSTERS SCALLOPS CLAMS","74120","weathervane scallop",NA,NA,NA
"81008","clam, Pacific razor","Siliqua patula","830",NA,"830","Clam, pacific razor","29","MUSSELS OYSTERS SCALLOPS CLAMS","74000","bivalve unident.",74,"Bivalve",""
"81008","clam, Pacific razor","Siliqua patula","830",NA,"830","Clam, pacific razor","29","MUSSELS OYSTERS SCALLOPS CLAMS","74120","weathervane scallop",NA,NA,NA
"81464","clam, Pacific little-neck","Protothaca staminea","840",NA,"840","Clam, little-neck","29","MUSSELS OYSTERS SCALLOPS CLAMS","74000","bivalve unident.",74,"Bivalve",""
"81464","clam, Pacific little-neck","Protothaca staminea","840",NA,"840","Clam, little-neck","29","MUSSELS OYSTERS SCALLOPS CLAMS","74120","weathervane scallop",NA,NA,NA
"81692","clam, eastern softshell","Mya arenaria","842",NA,"842","Clam, eastern softshell","29","MUSSELS OYSTERS SCALLOPS CLAMS","74000","bivalve unident.",74,"Bivalve",""
"81692","clam, eastern softshell","Mya arenaria","842",NA,"842","Clam, eastern softshell","29","MUSSELS OYSTERS SCALLOPS CLAMS","74120","weathervane scallop",NA,NA,NA
"163535","lake chub","Couesius plumbeus","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166365","stickleback, threespine","Gasterosteus aculeatus","660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"stickleback, ninespine","Pungittus pungitius","661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164409","trout perch","Percopsis omiscomaycus","670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"sturgeon, general","genus Acipenser","680",NA,"680","Sturgeon, general","230","STURGEON UNIDENTIFIED","25100","sturgeon unident.",NA,NA,NA
"161067","sturgeon, green","Acipenser medirostris","681",NA,"680","Sturgeon, general","231","GREEN STURGEON","25120","green sturgeon",NA,NA,NA
"161068","sturgeon, white","Acipenser transmontanus","682",NA,"680","Sturgeon, general","230","STURGEON UNIDENTIFIED","25100","sturgeon unident.",NA,NA,NA
NA,"sturgeon, siberian","acipenser baeri","683",NA,"680","Sturgeon, general","230","STURGEON UNIDENTIFIED","25100","sturgeon unident.",NA,NA,NA
NA,"shark, other","order Lamniformes and Squaliformes","689",NA,"689","Shark, Other","65","SHARK UNIDENTIFIED","150","shark unident.",63,"Miscellaneous Shark",""
"159910","shark, salmon","Lamna ditropis","690",NA,"690","Shark, salmon","67","SALMON SHARK","232","salmon shark",101,"Salmon Shark","coded as ""shark unidentified"" in FMA, weight data available from other gear types"
"160617","shark, spiny dogfish","Squalus acanthias","691",NA,"691","Shark, spiny dogfish","66","SPINY DOGFISH SHARK","310","spiny dogfish",54,"Spiny Dogfish",""
"160610","Pacific sleeper shark","Somniosus pacificus","692",NA,"692","Shark, pacific sleeper","62","PACIFIC SLEEPER SHARK","320","Pacific sleeper shark",125,"Sleeper Shark",""
NA,"skate, other","family Rajidae","700",NA,"700","Skate, Other","90","SKATE UNIDENTIFIED","400","skate unident.",55,"unident. Skate",""
NA,"skate, other","family Rajidae","700",NA,"700","Skate, Other","90","SKATE UNIDENTIFIED","99995","Aleutian/Bering/Alaska skate complex",NA,NA,NA
"160851","skate, longnose","Raja rhina","701",NA,"701","Skate, Longnose","95","LONGNOSE SKATE","440","longnose skate",143,"Longnose Skate",""
"160848","skate, big","Raja binoculata","702",NA,"702","Skate, Big","94","BIG SKATE","420","big skate",141,"Big Skate",""
"167123","sablefish (blackcod)","Anoplopoma fimbria","710",NA,"710","Sablefish (blackcod)","203","SABLEFISH","20510","sablefish",27,"Sablefish (Blackcod)",""
"161015","ratfish, spotted","Hydrolagus colliei","714",NA,"714","Ratfish","99","SPOTTED RATFISH","710","spotted ratfish",56,"Spotted Ratfish","coded as ""spiny dogfish"" in FMA"
"172419","tuna, albacore","Thunnus alalunga","720",NA,"720","Tuna, albacore",NA,NA,NA,NA,NA,NA,NA
NA,"swordfish","family Xiphiidae","750",NA,NA,NA,"811","SWORDFISH",NA,NA,NA,NA,NA
NA,"trout, cutthroat (nonanadromous)","Oncorhynchus clarki","562",NA,NA,NA,"227","CUTTHROAT TROUT",NA,NA,NA,NA,NA
"162006","inconnu (sheefish)","Stenodus leucichthys","570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"whitefish, general","genus Coregonus","580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161938","whitefish, least cisco","Coregonus sardinella","583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161933","whitefish, Arctic cisco","Coregonus autumnalis","584",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161935","whitefish, Bering cisco","Coregonus laurettae","585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162008","whitefish, round","Prosopium cylindraceum","586",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"whitefish, pygmy","Prosopium coulteri","587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161936","whitefish, broad","Coregonus nasus","588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161937","whitefish, humpback","Coregonus pidschian","589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164725","burbot","Lota lota","590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"lamprey, Pacific","Lampetra tridentata","600",NA,"600","Lamprey, pacific","79","PACIFIC LAMPREY","21","Pacific lamprey",NA,NA,NA
NA,"lamprey, Arctic","Lampetra japonica","601",NA,NA,NA,"75","LAMPREY UNIDENTIFIED","10","lamprey unident.",NA,NA,NA
NA,"lamprey, river","Lampetra ayresi","602",NA,NA,NA,"75","LAMPREY UNIDENTIFIED","10","lamprey unident.",NA,NA,NA
NA,"lamprey, brook","genus Ichthyomyzon and Lampetra","603",NA,NA,NA,"75","LAMPREY UNIDENTIFIED","10","lamprey unident.",NA,NA,NA
NA,"grayling, Arctic","Thymallus Arcticus","610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"jellyfish","class Scyphozoa","625",NA,"625","Jellyfish, general","35","JELLYFISH","40500","jellyfish unident.",94,"Jellyfish",""
"162159","blackfish, Alaska","Dallia pectoralis","630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163894","longnose sucker","Catostomus catostomus","640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"smelt, eulachon","Thaleichthys Pacificus","511",NA,"511","Smelt, Eulachon","601","EULACHON","23010","eulachon",NA,NA,NA
"162049","smelt, longfin","Spirinchus thaleichthys","512",NA,NA,NA,"602","SMELT UNIDENTIFIED","23000","smelt unident.",NA,NA,NA
"162041","smelt, rainbow","Osmerus mordax","513",NA,NA,NA,"605","RAINBOW SMELT","23055","rainbow smelt",NA,NA,NA
"162031","smelt, pond","Hypomesus olidus","514",NA,NA,NA,"602","SMELT UNIDENTIFIED","23000","smelt unident.",NA,NA,NA
"162030","smelt, surf","Hypomesus pretiosus","515",NA,"515","Smelt, Surf","613","SURF SMELT","23020","surf smelt",NA,NA,NA
"162035","smelt, capelin","Mallotus villosus","516",NA,"516","Capelin","604","CAPELIN","23041","capelin",NA,NA,NA
"162001","char, Arctic (general)","Salvelinus alpinus","520",NA,"521","Arctic char, anadromous",NA,NA,NA,NA,NA,NA,NA
"162001","char, Arctic (anadromous)","Salvelinus alpinus","521",NA,"521","Arctic char, anadromous",NA,NA,NA,NA,NA,NA,NA
"162001","char, Arctic (nonanadromous)","Salvelinus alpinus","522",NA,"521","Arctic char, anadromous",NA,NA,NA,NA,NA,NA,NA
"162000","Dolly Varden (general)","Salvelinus malma","530",NA,"531","Dolly varden, anadromous","228","DOLLY VARDEN","23252","Dolly Varden",NA,NA,NA
"162000","Dolly Varden (nonanadromous)","Salvelinus malma","532",NA,"531","Dolly varden, anadromous","228","DOLLY VARDEN","23252","Dolly Varden",NA,NA,NA
"161989","trout, steelhead","Oncorhynchus mykiss","540",NA,"540","Steelhead Trout","226","STEELHEAD","23260","steelhead",NA,NA,NA
"161989","trout, rainbow","Oncorhynchus mykiss","541",NA,"540","Steelhead Trout","226","STEELHEAD","23260","steelhead",NA,NA,NA
"162002","trout, lake","Salvelinus namaycush","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162003","trout, brook","Salvelinus fontinalis","555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"trout, cutthroat (general)","Oncorhynchus clarki","560",NA,NA,NA,"227","CUTTHROAT TROUT",NA,NA,NA,NA,NA
NA,"salmon, roe (unknown species)","genus Oncorhynchus","400",NA,NA,NA,"220","SALMON UNIDENTIFIED","23202","salmon unident.",NA,NA,NA
"161980","salmon, chinook","Oncorhynchus tshawytscha","410",NA,"410","Chinook Salmon","222","CHINOOK SALMON","23220","chinook salmon",75,"King Salmon","no AI data, may need to proxy from BS or GOA"
"161980","chinook, sm.","Oncorhynchus tshawytscha","411","changed from salmon, chinook under 21 in. August 2009","410","Chinook Salmon","222","CHINOOK SALMON","23220","chinook salmon",75,"King Salmon","no AI data, may need to proxy from BS or GOA"
"161979","salmon, sockeye","Oncorhynchus nerka","420",NA,"420","Sockeye Salmon","224","SOCKEYE SALMON","23240","sockeye salmon",79,"Sockeye Salmon","no AI data, may need to proxy from BS or GOA"
"161977","salmon, coho","Oncorhynchus kisutch","430",NA,"430","Coho Salmon","223","COHO SALMON","23225","coho salmon",76,"Coho Salmon","no AI data, may need to proxy from BS or GOA"
"161975","salmon, pink","Oncorhynchus gorbuscha","440",NA,"440","Pink Salmon","225","PINK SALMON","23230","pink salmon",78,"Pink Salmon","no LL data available, coded as sockeye salmon"
"161976","salmon, chum","Oncorhynchus keta","450",NA,"450","Chum Salmon","221","CHUM SALMON","23235","chum salmon",77,"Chum Salmon","no AI data, may need to proxy from BS or GOA"
NA,"salmon, groundfish bycatch","genus Oncorhynchus","490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162139","pike, northern","Esox lucius","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"smelt, general","family Osmeridae","510",NA,"510","Smelt, unidentified",NA,NA,NA,NA,NA,NA,NA
"160939","skate, Alaskan","Bathyraja parmifera","703",NA,"703","Skate, Alaska","88","ALASKA SKATE","471","Alaska skate",137,"Alaska Skate",""
"166326","opah","Lampris guttatus","758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160935","skate, Aleutian","Bathyraja aleutica","704",NA,"704","Skate, Aleutian","85","ALEUTIAN SKATE","472","Aleutian skate",138,"Aleutian Skate",""
"564263","skate, Whiteblotched","Bathyraja maculata","705",NA,"705","Skate, Whiteblotched","164","WHITEBLOTCHED SKATE","480","whiteblotched skate",156,"Whiteblotched Skate",""
"97937","crab, Hanasaki (Spiny) king","Paralithodes brevipes","925",NA,"925","Crab, Hanasaki (Spiny) King","10","RARE KING CRAB","69320","Kurile king crab",46,"Red King Crab",""
"159756","Blk hagfish","Eptatretus deani","202",NA,"202","Black hagfish","77","HAGFISH UNIDENTIFIED","100","hagfish unident.",153,"unident. Hagfish","coded as ""Lamprey unidentifed"" in FMA"
"164708","S. cod","Eleginus gracilis","111",NA,"111","Saffron Cod","208","SAFFRON COD","21735","saffron cod",NA,NA,NA
"167287","sculpin, bigmouth","Hemitripterus bolini","280","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"402","BIGMOUTH SCULPIN","21420","bigmouth sculpin",149,"Bigmouth Sculpin",""
"167315","sculpin, great","Myoxocephalus polyacanthocephalus","281","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"405","GREAT SCULPIN","21376","great sculpin",NA,NA,NA
"167315","sculpin, great","Myoxocephalus polyacanthocephalus","281","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"405","GREAT SCULPIN","21370","great sculpin",148,"Great Sculpin",""
"167312","sculpin, plain","Myoxocephalus jaok","282","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"399","PLAIN SCULPIN","21371","plain sculpin",253,"Plain Sculpin",""
"167274","sculpin, threaded","Gymnocanthus pistilliger","283","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,NA,NA,NA,NA,NA,NA,NA
"167322","sculpin, warty","Myoxocephalus verrucosus","284","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"398","WARTY SCULPIN","21368","warty sculpin",228,"Warty Sculpin",""
"167280","sculpin, yellow irish lord","Hemilepidotus jordani","285","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"414","YELLOW IRISH LORD","21347","yellow Irish lord",146,"Yellow Irish Lord",""
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"410","BROWN IRISH LORD","21344","brown Irish lord",147,"Brown Irish Lord","coded as ""red irish lord"" no weight data available"
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"415","BUTTERFLY SCULPIN","21348","butterfly sculpin",NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"418","IRISH LORD UNIDENTIFIED","21342","Irish lord",NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"440","MYOXOCEPHALUS SCULPIN UNIDENTIFIED","21377","Myoxocephalus quadricornis ",NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"440","MYOXOCEPHALUS SCULPIN UNIDENTIFIED","21375","MYOXOCEPHALUS  UNIDENTIFIED",NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"407","RED IRISH LORD","21346","red Irish lord",145,"Red Irish Lord",""
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"406","SHORTHORN SCULPIN",NA,NA,NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"400","SCULPIN UNIDENTIFIED","21305","Zesticelus profundorum",NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"400","SCULPIN UNIDENTIFIED","21329","Gymnocanthus detrisus ",NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"400","SCULPIN UNIDENTIFIED","21333","Artediellus pacificus",NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"400","SCULPIN UNIDENTIFIED","21334","Artediellus scaber ",NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"400","SCULPIN UNIDENTIFIED","21337","broadfin sculpin",NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"400","SCULPIN UNIDENTIFIED","21338","Malacocottus aleuticus",NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"400","SCULPIN UNIDENTIFIED","21353","crescent-tail sculpin",NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"400","SCULPIN UNIDENTIFIED","21360","brightbelly sculpin",NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"400","SCULPIN UNIDENTIFIED","21379","hairhead sculpin",NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"400","SCULPIN UNIDENTIFIED","21405","eyeshade sculpin ",NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"400","SCULPIN UNIDENTIFIED","21423","Eurymen gyrinus",NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"400","SCULPIN UNIDENTIFIED","21421","Sculpins Unidentified",NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"400","SCULPIN UNIDENTIFIED","21415","Rhamphocottus richardsoni",NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"400","SCULPIN UNIDENTIFIED","21339","Malacocottus sp.",NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"400","SCULPIN UNIDENTIFIED","21312","Spotfin sculpin",NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"400","SCULPIN UNIDENTIFIED","21331","Hookear Sculpin",NA,NA,NA
NA,"sculpin, other large","Genus Hemilepidotus and Genus Myoxocephalus","286","Internal codes added by NMFS to enable bycatch estimates for stock assessment",NA,NA,"400","SCULPIN UNIDENTIFIED","21300","sculpin unident.",29,"unident. Sculpin",""
"162523","lancetfish","Alepisauridae","716",NA,"716","Lancetfish","785","LANCETFISHES","23657","longnose lancetfish",NA,NA,NA
